Stratagem_ID,Detachment_ID,Stratagem_Name,CP_Cost,Short_Description,Tiny_Description,Long_Description,Tags,Default_Active,Required_Keywords,Any_Keywords,Excluded_Keywords
space_marines_terminator_stormforce_stratagem_merciless_veterans_1cp,space_marines_terminator_stormforce,MERCILESS VETERANS,1,"TERMINATOR SHOOTING
RANGED: LETHAL HITS & SUSTAINED HITS 1 [LETHAL HITS] [SUSTAINED HITS 1]",Lethal + Sustained Hits 1,"WHEN: Your Shooting phase, when a friendly ADEPTUS ASTARTES TERMINATOR unit is selected to shoot.

TARGET: That ADEPTUS ASTARTES TERMINATOR unit.

EFFECT: Your unit's ranged attacks have:
• [LETHAL HITS].
• [SUSTAINED HITS 1].","SHOOT, [LETHAL HITS] [SUSTAINED HITS 1]",0,,"TERMINATOR, TERMINATORS",
space_marines_terminator_stormforce_stratagem_gunship_extraction_1cp,space_marines_terminator_stormforce,GUNSHIP EXTRACTION,1,"End of enemy FIGHT
Unengaged TERMINATOR: STRATEGIC RESERVES [STRATEGIC RESERVES]",Terminators → Reserves,"WHEN: End of your opponent's Fight phase.

TARGET: One friendly unengaged ADEPTUS ASTARTES TERMINATOR unit.

EFFECT: Place your unit in strategic reserves.",[STRATEGIC RESERVES],0,,"TERMINATOR, TERMINATORS",
space_marines_tacticus_attack_force_stratagem_relentless_assault_1cp,space_marines_tacticus_attack_force,RELENTLESS ASSAULT,1,"TACTICUS SHOOTING / FIGHT
vs non-MONSTER / VEHICLE: SUSTAINED HITS 1
vs MONSTER / VEHICLE: LETHAL HITS",Sust. non-M/V; Lethal M/V,"WHEN: Your Shooting phase or the Fight phase, when a friendly TACTICUS unit is selected to attack.

TARGET: That TACTICUS unit.

EFFECT: Your unit’s attacks have:
• [SUSTAINED HITS 1: non-MONSTER/VEHICLE].
• Or: [LETHAL HITS: MONSTER/VEHICLE].","SHOOT, MELEE",0,,,
space_marines_tacticus_attack_force_stratagem_transhuman_swiftness_1cp,space_marines_tacticus_attack_force,TRANSHUMAN SWIFTNESS,1,"TACTICUS on OBJECTIVE
After enemy fights: FIGHTS FIRST & fight next",Fights First; fight next,"WHEN: Fight phase, when an enemy unit has fought.

TARGET: One friendly TACTICUS unit that is within range of an objective and is eligible to fight.

EFFECT: Your unit has Fights First and must be the next unit you select to fight.",MELEE,0,,,
space_marines_tacticus_attack_force_stratagem_tactical_focus_1cp,space_marines_tacticus_attack_force,TACTICAL FOCUS,1,"TACTICUS CONSOLIDATE: D3+3\""",Consolidate D3+3”,"WHEN: Fight phase, when a friendly TACTICUS unit is selected to make a consolidation move.

TARGET: That TACTICUS unit.

EFFECT: When making that consolidation move, your unit can move up to D3+3"".",,0,,,
space_marines_tacticus_firestorm_force_stratagem_for_the_emperor_1cp,space_marines_tacticus_firestorm_force,FOR THE EMPEROR!,1,"COMMAND: TACTICUS on OBJECTIVE
+1 OC until end of turn",Objective OC +1,"WHEN: Command phase.

TARGET: One friendly TACTICUS unit that is within range of an objective.

EFFECT: Your unit has +1 OC until the end of the turn.",,0,,,
space_marines_tacticus_firestorm_force_stratagem_relentless_assault_1cp,space_marines_tacticus_firestorm_force,RELENTLESS ASSAULT,1,"TACTICUS SHOOTING / FIGHT
vs non-MONSTER / VEHICLE: SUSTAINED HITS 1
vs MONSTER / VEHICLE: LETHAL HITS",Sust. non-M/V; Lethal M/V,"WHEN: Your Shooting phase or the Fight phase, when a friendly TACTICUS unit is selected to attack.

TARGET: That TACTICUS unit.

EFFECT: Your unit’s attacks have:
• [SUSTAINED HITS 1: non-MONSTER/VEHICLE].
• Or: [LETHAL HITS: MONSTER/VEHICLE].","SHOOT, MELEE",0,,,
space_marines_tacticus_firestorm_force_stratagem_point_blank_brutality_1cp,space_marines_tacticus_firestorm_force,POINT-BLANK BRUTALITY,1,"Engaged TACTICUS SHOOTING
Non-BLAST RANGED: CLOSE-QUARTERS & IGNORE COVER",Engaged - CQ + Ignore Cover,"WHEN: Your Shooting phase, when a friendly engaged TACTICUS unit is selected to shoot.

TARGET: That TACTICUS unit.

EFFECT: Your unit’s ranged attacks (excluding [BLAST] attacks) have:
• [CLOSE-QUARTERS].
• [IGNORES COVER].",SHOOT,0,,,
space_marines_phobos_shadow_force_stratagem_strike_from_the_shadows_1cp,space_marines_phobos_shadow_force,STRIKE FROM THE SHADOWS,1,"HIDDEN PHOBOS SHOOTING / FIGHT
Attacks: +1 S & LETHAL HITS [LETHAL HITS]",Hidden attacks S +1 + Lethal,"WHEN: Your Shooting phase or the Fight phase, when a friendly hidden PHOBOS unit is selected to attack.

TARGET: That PHOBOS unit.

EFFECT: Your unit’s attacks have:
• +1 S.
• [LETHAL HITS].","SHOOT, MELEE, [LETHAL HITS]",0,PHOBOS,,
space_marines_phobos_shadow_force_stratagem_mortis_snares_1cp,space_marines_phobos_shadow_force,MORTIS SNARES,1,"End MOVEMENT: PHOBOS / SCOUT on OBJECTIVE
Snare objective
Enemy ends move in range: 2+ = D6 MW",Snare objective; 2+ = D6 MW,"WHEN: End of your Movement phase.

TARGET: One friendly unengaged PHOBOS/SCOUT SQUAD unit.

EFFECT: If your unit is controlling an objective, that objective is snared. While an objective is snared, when an enemy unit ends a move within range of that objective, roll one D6:
• On a 2+, that enemy unit suffers D6 mortal wounds.
• That objective is no longer snared.",,0,,,
space_marines_phobos_shadow_force_stratagem_tactical_withdrawal_1cp,space_marines_phobos_shadow_force,TACTICAL WITHDRAWAL,1,"End enemy FIGHT
Unengaged PHOBOS / SCOUT: STRATEGIC RESERVES",Phobos/Scout → Reserves,"WHEN: End of your opponent’s Fight phase.

TARGET: One friendly unengaged PHOBOS/SCOUT SQUAD unit.

EFFECT: Place your unit in strategic reserves.",,0,,,
space_marines_phobos_shock_force_stratagem_strike_from_the_shadows_1cp,space_marines_phobos_shock_force,STRIKE FROM THE SHADOWS,1,"HIDDEN PHOBOS SHOOTING / FIGHT
Attacks: +1 S & LETHAL HITS [LETHAL HITS]",Hidden attacks S +1 + Lethal,"WHEN: Your Shooting phase or the Fight phase, when a friendly hidden PHOBOS unit is selected to attack.

TARGET: That PHOBOS unit.

EFFECT: Your unit’s attacks have:
• +1 S.
• [LETHAL HITS].","SHOOT, MELEE, [LETHAL HITS]",0,,,
space_marines_phobos_shock_force_stratagem_transhuman_reactions_1cp,space_marines_phobos_shock_force,TRANSHUMAN REACTIONS,1,"Enemy ends move within 8""
Unengaged PHOBOS: Move D6""
In TACTICAL: Move 6""",Reactive Move D6” / 6”,"WHEN: Your opponent’s Movement phase, when an enemy unit ends a move within 8"" of a friendly unengaged PHOBOS unit.

TARGET: That PHOBOS unit.

EFFECT: Your unit can make a normal move of:
• Up to D6"".
• Or: If the tactical doctrine is active for your unit, up to 6"".",,0,,,
space_marines_phobos_shock_force_stratagem_umbral_evasion_1cp,space_marines_phobos_shock_force,UMBRAL EVASION,1,"Enemy SHOOTING
PHOBOS: -1 to Hit",Incoming ranged Hit -1,"WHEN: Your opponent’s Shooting phase, when an enemy unit targets a friendly PHOBOS unit.

TARGET: That PHOBOS unit.

EFFECT: Ranged attacks that target your unit have -1 to hit rolls.",SHOOT,0,,,
space_marines_gravis_linebreaker_force_stratagem_annihilating_force_1cp,space_marines_gravis_linebreaker_force,ANNIHILATING FORCE,1,"GRAVIS SHOOTING / FIGHT
Attacks: LETHAL HITS [LETHAL HITS]",Attacks gain Lethal Hits,"WHEN: Your Shooting phase or the Fight phase, when a friendly GRAVIS unit is selected to attack.

TARGET: That GRAVIS unit.

EFFECT: Your unit’s attacks have [LETHAL HITS].","SHOOT, MELEE, [LETHAL HITS]",0,,,
space_marines_gravis_linebreaker_force_stratagem_purgation_push_1cp,space_marines_gravis_linebreaker_force,PURGATION PUSH,1,"After SHOOTING & unengaged: Move 5"" onto OBJECTIVE
Cannot CHARGE / EMBARK",Shoot → move 5” to Obj,"WHEN: Your Shooting phase, when a friendly GRAVIS unit has shot.

TARGET: That GRAVIS unit.

EFFECT:
• If your unit is unengaged, your unit can make a normal move of up to 5"", and must end that move within range of an objective.
• Your unit is not eligible to declare a charge or embark within a TRANSPORT until the end of the turn.",,0,,,
space_marines_gravis_linebreaker_force_stratagem_armoured_impact_1cp,space_marines_gravis_linebreaker_force,ARMOURED IMPACT,1,"After CHARGE: D6 per engaged model
Each 3+: 1 MW",Charge - 3+ = 1 MW per model,"WHEN: Your Charge phase, when a friendly GRAVIS unit ends a charge move.

TARGET: That GRAVIS unit.

EFFECT: When your unit ends a charge move, you can select one enemy unit engaged with your unit. If you do, roll one D6 for each model in your unit engaged with that enemy unit:
• For each 3+, that enemy unit suffers 1 mortal wound.",,0,,,
space_marines_gravis_siege_force_stratagem_annihilating_force_1cp,space_marines_gravis_siege_force,ANNIHILATING FORCE,1,"GRAVIS SHOOTING / FIGHT
Attacks: LETHAL HITS [LETHAL HITS]",Attacks gain Lethal Hits,"WHEN: Your Shooting phase or the Fight phase, when a friendly GRAVIS unit is selected to attack.

TARGET: That GRAVIS unit.

EFFECT: Your unit’s attacks have [LETHAL HITS].","SHOOT, MELEE, [LETHAL HITS]",0,,,
space_marines_gravis_siege_force_stratagem_stand_unyielding_1cp,space_marines_gravis_siege_force,STAND UNYIELDING,1,"End MOVEMENT
Secure controlled OBJECTIVE",Secure controlled Objective,"WHEN: End of your Movement phase.

TARGET: One friendly GRAVIS unit.

EFFECT: Select one objective your unit is controlling. That objective is secured.",,0,,,
space_marines_gravis_siege_force_stratagem_suppression_volleys_1cp,space_marines_gravis_siege_force,SUPPRESSION VOLLEYS,1,"After SHOOTING: Enemy hit takes BATTLE-SHOCK
-1 to BATTLE-SHOCK roll",Hit enemy Battle-shock at -1,"WHEN: Your Shooting phase, when a friendly GRAVIS unit has shot.

TARGET: That GRAVIS unit.

EFFECT: Select one enemy unit hit by those attacks. That enemy unit makes a battle-shock roll, with -1 to that battle-shock roll.",SHOOT,0,,,
space_marines_stormlance_task_force_stratagem_wind_swift_evasion_1cp,space_marines_stormlance_task_force,WIND-SWIFT EVASION,1,"End FIGHT
MOUNTED: NORMAL MOVE if unengaged
FALL BACK if engaged",Fight end: move or Fall Back,"WHEN: End of the Fight phase.

TARGET: One friendly ADEPTUS ASTARTES MOUNTED unit that was eligible to fight this phase.

EFFECT:
• If your unit is unengaged, your unit can make a normal move.
• Or: If your unit is engaged, your unit can make a fall-back move.",,0,,,
space_marines_stormlance_task_force_stratagem_sudden_onslaught_1cp,space_marines_stormlance_task_force,SUDDEN ONSLAUGHT,1,"MOUNTED / SPEEDER ADVANCE: 6""",Advance becomes 6”,"WHEN: Your Movement phase, when a friendly ADEPTUS ASTARTES MOUNTED/SPEEDER unit is selected to make an advance move.

TARGET: That ADEPTUS ASTARTES MOUNTED/SPEEDER unit.

EFFECT: Your unit can change its advance rolls to a 6.",,0,,,
space_marines_stormlance_task_force_stratagem_hurtling_targets_1cp,space_marines_stormlance_task_force,HURTLING TARGETS,1,"Enemy SHOOTING
MOUNTED / SPEEDER: -1 to Hit",Incoming ranged Hit -1,"WHEN: Your opponent’s Shooting phase, when an enemy unit targets a friendly ADEPTUS ASTARTES MOUNTED/SPEEDER unit.

TARGET: That ADEPTUS ASTARTES MOUNTED/SPEEDER unit.

EFFECT: Ranged attacks that target your unit have -1 to hit rolls.",SHOOT,0,,,
space_marines_ironclad_champions_stratagem_adamantine_terror_1cp,space_marines_ironclad_champions,ADAMANTINE TERROR,1,"Start FIGHT
DREADNOUGHT: Engaged enemy units take BATTLE-SHOCK at -1",Engaged enemy B-shock -1,"WHEN: Start of the Fight phase.

TARGET: One friendly DREADNOUGHT unit.

EFFECT: Each enemy unit engaged with your unit makes a battle-shock roll, with -1 to that battle-shock roll.",,0,,DREADNOUGHT,
space_marines_ironclad_champions_stratagem_mercy_is_weakness_1cp,space_marines_ironclad_champions,MERCY IS WEAKNESS,1,"DREADNOUGHT SHOOTING / FIGHT
Attacks: LETHAL HITS or SUSTAINED HITS 1",Lethal or Sustained Hits 1,"WHEN: Your Shooting phase or the Fight phase, when a friendly DREADNOUGHT unit is selected to attack.

TARGET: That DREADNOUGHT unit.

EFFECT: Your unit’s attacks have:
• [LETHAL HITS].
• Or: [SUSTAINED HITS 1].","SHOOT, MELEE",0,,DREADNOUGHT,
space_marines_ironclad_champions_stratagem_unstoppable_advance_1cp,space_marines_ironclad_champions,UNSTOPPABLE ADVANCE,1,"MOVEMENT / CHARGE
DREADNOUGHT: MOBILE",Gain Mobile when move/charge,"WHEN: Your Movement/Charge phase, when a friendly DREADNOUGHT unit is selected to move or declares a charge.

TARGET: That DREADNOUGHT unit.

EFFECT: Your unit has MOBILE.",,0,,DREADNOUGHT,
space_marines_medusas_wrath_stratagem_ancient_fury,space_marines_medusas_wrath,ANCIENT FURY,1,COMMAND DREADNOUGHT until next COMMAND — [+1 M] [+1 T] [+1 LD] [+1 OC] [+1 To Hit].,M/T/LD/OC/Hit +1,,"ACTIVE, STATS, SHOOT, MELEE, WEAPONS, +1 M, +1 T, +1 LD, +1 OC, +1 TO HIT",0,DREADNOUGHT,,
space_marines_medusas_wrath_stratagem_spirits_of_iron,space_marines_medusas_wrath,SPIRITS OF IRON,1,Unit gets FNP 5+ vs MORTAL WOUNDS for phase.,FNP 5+ vs Mortal Wounds,,ACTIVE,0,,,
space_marines_medusas_wrath_stratagem_mercy_is_weakness,space_marines_medusas_wrath,MERCY IS WEAKNESS,1,SHOOTING/FIGHT — attacks gain [SUSTAINED HITS 1]; VEHICLE also +1 to Wound.,Sustained 1; Vehicle W+1,,"ACTIVE, SHOOT, MELEE, WEAPONS, SUSTAINED HITS 1",0,,,
space_marines_medusas_wrath_stratagem_unbowed_conviction,space_marines_medusas_wrath,UNBOWED CONVICTION,1,COMMAND below Starting Strength — ignore BS/WS/Hit/Wound modifiers for round.,Ignore BS/WS/Hit/Wound mods,,ACTIVE,0,,,
space_marines_medusas_wrath_stratagem_power_of_the_machine_spirit,space_marines_medusas_wrath,POWER OF THE MACHINE SPIRIT,1,After enemy SHOOTS VEHICLE — SNAP SHOOT back; at/below HALF-STRENGTH shoot normally.,Enemy shoots → Shoot back,,"ACTIVE, SHOOT",0,VEHICLE,,
space_marines_medusas_wrath_stratagem_vengeful_animus,space_marines_medusas_wrath,VENGEFUL ANIMUS,1,Automatically trigger DEADLY DEMISE.,Trigger Deadly Demise,,ACTIVE,0,,,
