Detachment_ID,Army_Name,Detachment_Name,Item_Type,Item_ID,Item_Name,Points,CP_Cost,DP_Cost,Detachment_Disposition,Short_Description,Long_Description
dark_angels_wrath_of_the_rock,Dark Angels,Wrath of the Rock,DETACHMENT_RULE,dark_angels_wrath_of_the_rock_detachment_rule_detachment_rule,Dutiful Tenacity,,,3,Priority Assets,INFANTRY and MOUNTED -1 To Wound if weapons higher than Strength,"Each time an attack targets an Adeptus Astartes Infantry or Adeptus Astartes Mounted unit from your army, if the Strength characteristic of that attack is greater than the Toughness characteristic of that unit, subtract 1 from the Wound roll."
space_marines_forgefathers_seekers,Salamanders,Forgefather's Seekers,DETACHMENT_RULE,space_marines_forgefathers_seekers_detachment_rule_detachment_rule,Close-range Eradication,,,2,Purge the Foe,"RANGE: ASSAULT and +1 Strength within 12""
Infernus can Advance + Action OR Shoot and Action","Ranged weapons equipped by ADEPTUS ASTARTES models from your army have the [ASSAULT] ability, and each time an attack made with such a weapon targets a unit within 12"", add 1 to the Strength characteristic of that attack.

If your army includes VULKAN HE’STAN, during your turn, each INFERNUS SQUAD unit from your army is eligible to do one of the following:
Start to perform an Action in a turn in which it Advanced.
Shoot in a turn in which it started to perform an Action."
dark_angels_lions_blade_task_force,Dark Angels,Lions Blade Task Force,DETACHMENT_RULE,dark_angels_lions_blade_task_force_detachment_rule_detachment_rule,Lion's Blade,,,2,Purge the Foe,"Ravenwing: Desperate Escape -1 when falling back.
Deathwing: +2 to Charge if Ravenwing in Engagement.","Each time an enemy unit (excluding MONSTERS and VEHICLES) within Engagement Range of one or more RAVENWING units from your army Falls Back, all models in that enemy unit must take a Desperate Escape test. When doing so, if that enemy unit is Battle-shocked, subtract 1 from each of those tests.

Each time a DEATHWING unit from your army declares a charge, if one or more targets of that charge are within Engagement Range of one or more RAVENWING units from your army, add 2 to the Charge roll."
DARKFLIGHT_PURSUIT,Dark Angels,Darkflight Pursuit,DETACHMENT_RULE,DARKFLIGHT_PURSUIT_DETACHMENT_RULE_BLACK_WINGED_VIGILANCE,BLACK-WINGED VIGILANCE,,,1,Recon,RAVENWING FLY units' ranged attacks have [IGNORES COVER].,"Friendly RAVENWING FLY units' ranged attacks have [IGNORES COVER].

RESTRICTIONS: Your army can include DARK ANGELS units, but it cannot include any ADEPTUS ASTARTES units drawn from any other Chapter."
space_marines_firestorm_assault_force,Marines,Firestorm Assault Force,DETACHMENT_RULE,space_marines_firestorm_assault_force_detachment_rule_detachment_rule,Close-range Eradication,,,2,Recon,"Range: Get ASSAULT and +1 To Strength within 12""","Ranged weapons equipped by ADEPTUS ASTARTES models from your army have the [ASSAULT] ability, and each time an attack made with such a weapon targets a unit within 12"", add 1 to the Strength characteristic of that attack."
INTERROGATION_CONCLAVE,Dark Angels,Interrogation Conclave,DETACHMENT_RULE,INTERROGATION_CONCLAVE_DETACHMENT_RULE_DREAD_CATECHISM,DREAD CATECHISM,,,1,Recon,"CHAPLAIN: Destroy a unit = Force Battle-shock. Also, -1 LD within 6"".","In the Fight phase, when a friendly CHAPLAIN unit destroys an enemy unit, enemy units within 6"" of that CHAPLAIN unit make a battle-shock roll.

Friendly CHAPLAIN units have the following ability: Sower of Dread (Aura): While an enemy unit is within 6"" of this unit, that enemy unit has -1 Ld."
LIBRARIUS_CONCLAVE,Marines,Librarius Conclave,DETACHMENT_RULE,LIBRARIUS_CONCLAVE_DETACHMENT_RULE_PSYCHIC_DISCIPLINES,PSYCHIC DISCIPLINES,,,1,Recon,"Start of battle round:  - Biomancy: +2"" M.   - Divination: Re-roll 1s To Hit and To Wound - Pyromancy: Ranged within 12"" have +1 AP - Telekinesis: Enemy Range -1 S.   - Telepathy: Ignore mods to BS, WS and hits.","At the start of the battle round, select one of the following Psychic Disciplines abilities. Friendly ADEPTUS ASTARTES PSYKER units have that ability until the end of the battle round:

Biomancy Discipline: This unit has +2"" M.
Divination Discipline: This unit's attacks can re-roll hit rolls of 1 and re-roll wound rolls of 1.
Pyromancy Discipline: This unit's ranged attacks that target an enemy unit within 12"" of this unit have +1 AP.
Telekinesis Discipline: Ranged attacks that target this unit have -1 S.
Telepathy Discipline: This unit's attacks can ignore modifiers to BS, WS and hit rolls."
SUBVERSION_ASSETS,Marines,Subversion Assets,DETACHMENT_RULE,SUBVERSION_ASSETS_DETACHMENT_RULE_NOWHERE_TO_HIDE,NOWHERE TO HIDE,,,1,Recon,"PHOBOS and SCOUT detect a visible enemy within 12"". 
While detected, enemy has +3"" detection range.","Friendly PHOBOS/SCOUT SQUAD units have the following ability. Transhuman Perception: In your Shooting phase, this unit can select one visible enemy unit within 12"". That enemy unit is detected. While a unit is detected, that unit has +3"" detection range."
space_marines_vanguard_spearhead,Marines,Vanguard Spearhead,DETACHMENT_RULE,space_marines_vanguard_spearhead_detachment_rule_detachment_rule,Shadow Masters,,,2,Recon,Cover & -1 To be Hit,"Each time a ranged attack targets an ADEPTUS ASTARTES unit from your army, unless the attacking model is within 12"", subtract 1 from the Hit roll and the target has the Benefit of Cover against that attack."
space_marines,Marines,,ARMY_RULE,space_marines_army_rule_oath_of_moment,Oath of Moment,,,,,OATH OF MOMENT,OATH OF MOMENT
dark_angels,Dark Angels,,ARMY_RULE,dark_angels_army_rule_the_unforgiven,The Unforgiven,,,,,The Unforgiven: Adeptus Astartes become Dark Angels.,"The Unforgiven
If an ADEPTUS ASTARTES unit has a second Faction keyword on its datasheet, that Faction keyword is the name of that units Chapter. For example, Asmodai has both the ADEPTUS ASTARTES and DARK ANGELS Faction keywords, and is therefore from the Dark Angels Chapter.
You cannot include units from more than one Chapter in your army.

The Ravenwing
The following ADEPTUS ASTARTES units gain the RAVENWING keyword if they are drawn from the Dark Angels Chapter:
MOUNTED units VEHICLE units that can FLY

The Deathwing
The following ADEPTUS ASTARTES units gain the DEATHWING keyword if they are drawn from the Dark Angels Chapter:
TERMINATOR units
BLADEGUARD ANCIENT, BLADEGUARD VETERAN SQUAD, STERNGUARD VETERAN SQUAD and VANGUARD VETERAN SQUAD WITH JUMP PACKS units
LAND RAIDER, LAND RAIDER CRUSADER, LAND RAIDER REDEEMER, REPULSOR and REPULSOR EXECUTIONER units
DREADNOUGHT units"
space_marines_firestorm_assault_force,,Firestorm Assault Force,ENHANCEMENT,space_marines_firestorm_assault_force_enhancement_adamantine_mantle,Adamantine Mantle,20,,,,-1 to Damage. If Melta or Torrent then Damage is just 1.,"ADEPTUS ASTARTES model only. Each time an attack is allocated to the bearer, subtract 1 from the Damage characteristic of that attack. If that attack was made with a Melta or Torrent weapon, change the Damage characteristic of that attack to 1 instead."
space_marines_gladius_task_force,,Gladius Task Force,ENHANCEMENT,space_marines_gladius_task_force_enhancement_adept_of_the_codex,Adept of the Codex,20,,,,Tactical doctrine can be ON,"CAPTAIN model only. At the start of your Command phase, if the bearer is on the battlefield, instead of selecting a Combat Doctrine to be active for your army, you can select the Tactical Doctrine. If you do, until the start of your next Command phase, that Combat Doctrine is active for the bearer’s unit only, even if you have already selected that Combat Doctrine to be active for your army this battle."
dark_angels_wrath_of_the_rock,,Wrath of the Rock,ENHANCEMENT,dark_angels_wrath_of_the_rock_enhancement_ancient_weapons,Ancient Weapons,25,,,,"MELEE. Str +2, AP -1, Damage +1","Adeptus Astartes model only. Improve the Strength characteristic of melee weapons equipped by the bearer by 2, and improve the Armour Penetration and Damage characteristics of those weapons by 1."
space_marines_blade_of_ultramar,,Blade Of Ultramar,ENHANCEMENT,space_marines_blade_of_ultramar_enhancement_armour_of_antoninus,Armour Of Antoninus,20,,,,Save 2+ and 5+ FNP,Artificer Armour:  ADEPTUS ASTARTES model only. The bearer has a Save characteristic of 2+ and the Feel No Pain 5+ ability.
space_marines_gladius_task_force,,Gladius Task Force,ENHANCEMENT,space_marines_gladius_task_force_enhancement_artificer_armour,Artificer Armour,20,,,,Save 2+ and 5+ FNP,Artificer Armour:  ADEPTUS ASTARTES model only. The bearer has a Save characteristic of 2+ and the Feel No Pain 5+ ability.
space_marines_shadowmark_talon,,Shadowmark Talon,ENHANCEMENT,space_marines_shadowmark_talon_enhancement_blackwing_shroud,Blackwing Shroud,25,,,,Leading = Infiltrator to Unit,"ADEPTUS ASTARTES INFANTRY model only. While the bearer is leading a unit, models in that unit have the Infiltrators ability."
dark_angels_lions_blade_task_force,,Lions Blade Task Force,ENHANCEMENT,dark_angels_lions_blade_task_force_enhancement_calibanite_armaments,Calibanite Armaments,15,,,,+1 Damage for bearer only.,ADEPTUS ASTARTES model only. Add 1 to the Damage characteristic of the bearer’s melee weapons.
LIBRARIUS_CONCLAVE,,Librarius Conclave,ENHANCEMENT,LIBRARIUS_CONCLAVE_ENHANCEMENT_CELERITY,Celerity,35,,,,"PSYKER: Advance & Charge.
In Biomancy: Advance or Fallback & Charge.","ADEPTUS ASTARTES PSYKER model only. 
- When this unit is selected to make an advance move, that move does not prevent this unit from being eligible to declare a charge. 
- When this unit is selected to make a fall-back move, if this unit has the Biomancy Discipline ability, that move does not prevent this unit from being eligible to declare a charge."
space_marines_firestorm_assault_force,,Firestorm Assault Force,ENHANCEMENT,space_marines_firestorm_assault_force_enhancement_champion_of_humanity,Champion of Humanity,10,,,,"LEADING
Ignore all Modifiers","TACTICUS model only. While the bearer is leading a unit, models in that unit can ignore any or all modifiers to their characteristics and/or to any roll or test made for them (excluding modifiers to saving throws)."
dark_angels_inner_circle_task_force,,Inner Circle Task Force,ENHANCEMENT,dark_angels_inner_circle_task_force_enhancement_champion_of_the_deathwing,Champion of the Deathwing,15,,,,"Deathwing. LETHAL Hits 
VOWED = LETHAL on 5+.","Champion of the Deathwing: DEATHWING model only. - weapons equipped by the bearer have the [LETHAL HITS] ability, and each time the bearer makes a - attack, if it is within range of your Vowed objective marker, a Critical Hit is scored on an unmodified Hit roll of 5+."
space_marines_emperors_shield,,Emperor's Shield,ENHANCEMENT,space_marines_emperors_shield_enhancement_champion_of_the_feast,Champion of the Feast,25,,,,"+1 Attacks.
Once, Unit +1 Attacks also","ADEPTUS ASTARTES model only. Add 1 to the Attacks characteristic of the bearer’s melee weapons. Once per battle, at the start of any phase, the bearer can use this Enhancement. If it does, until the end of the phase, add 1 to the Attacks characteristic of melee weapons equipped by other models in the bearer’s unit as well."
space_marines_spearpoint_task_force,,Spearpoint Task Force,ENHANCEMENT,space_marines_spearpoint_task_force_enhancement_chogorian_huntmaster,Chogorian Huntmaster,25,,,,"MOUNTED. If unit is in Strategic Reserves, treat battle round as one higher when setting up.","CHOGORIAN HUNTMASTER: ADEPTUS ASTARTES MOUNTED model only. If the bearer’s unit is in Strategic Reserves, for the purposes of setting up that unit on the battlefield, treat the current battle round number as being one higher than it actually is."
space_marines_shadowmark_talon,,Shadowmark Talon,ENHANCEMENT,space_marines_shadowmark_talon_enhancement_coronal_susurrant,Coronal Susurrant,30,,,,Phobos get Lord of Deceipt,"PHOBOS model only. The bearer has the following ability:

Lord of Deceit (Aura): Each time your opponent targets a unit from their army with a Stratagem, if that unit is within 12"" of this model, increase the cost of that usage of that Stratagem by 1CP."
SUBVERSION_ASSETS,,Subversion Assets,ENHANCEMENT,SUBVERSION_ASSETS_ENHANCEMENT_DEATH_IN_THE_DARK,Death In The Dark,15,,,,INFANTRY PHOBOS unit only. Attacks targeting a hidden unit have +1 to hit rolls.,INFANTRY PHOBOS unit only. This unit's attacks that target a hidden unit have +1 to hit rolls.
dark_angels_inner_circle_task_force,,Inner Circle Task Force,ENHANCEMENT,dark_angels_inner_circle_task_force_enhancement_deathwing_assault,Deathwing Assault,30,,,,Deep Strike Turn 1,"Deathwing Assault: DEATHWING model with the Deep Strike ability only. The bearer’s unit can be set up using the Deep Strike ability in the Reinforcements step of your first, second or third Movement phase, regardless of any mission rules."
dark_angels_wrath_of_the_rock,,Wrath of the Rock,ENHANCEMENT,dark_angels_wrath_of_the_rock_enhancement_deathwing_assault,Deathwing Assault,15,,,,Turn 1 Deepstrike,"Deathwing model with the Deep Strike ability only.  The bearer’s unit can be set up using the Deep Strike ability in the Reinforcements step of your first, second or third Movement phase, regardless of any mission rules."
space_marines_emperors_shield,,Emperor's Shield,ENHANCEMENT,space_marines_emperors_shield_enhancement_disciple_of_rhetoricus,Disciple of Rhetoricus,10,,,,"TERMINATOR: +1 OC
Once, Unit +1 OC also.","ADEPTUS ASTARTES TERMINATOR model only. Improve the Objective Control characteristic of the bearer by 1. Once per battle, at the start of any phase, the bearer can use this Enhancement. If it does, until the end of the phase, add 1 to the Objective Control characteristic of other models in the bearer’s unit as well."
DARK_AGE_ARSENAL,,Dark Age Arsenal,ENHANCEMENT,DARK_AGE_ARSENAL_ENHANCEMENT_ENTREATY_OF_PERPETUAL_ARDOUR,Entreaty Of Perpetual Ardour,,,,,HELLBLASTER. Snap shooting hit on 5+.,HELLBLASTER SQUAD only. This unit's snap shooting attacks hit on unmodified hit rolls of 5+.
space_marines_vanguard_spearhead,,Vanguard Spearhead,ENHANCEMENT,space_marines_vanguard_spearhead_enhancement_execute_and_redeploy,Execute and Redeploy,20,,,,"PHOBOS + SHOOTING
Shoot + Normal move up to 6"".
Cannot Charge","Execute and Redeploy: PHOBOS model only. In your Shooting phase, after the bearer’s unit has shot, if that unit is not within Engagement Range of one or more enemy units, it can make a Normal move of up to 6"". If it does, until the end of the turn, that unit is not eligible to declare a charge. This cannot allow the bearer’s unit to move more than once in your Shooting phase."
dark_angels_inner_circle_task_force,,Inner Circle Task Force,ENHANCEMENT,dark_angels_inner_circle_task_force_enhancement_eye_of_the_unseen,Eye of the Unseen,10,,,,Gain CP,"Eye of the Unseen: DEATHWING model only. Each time you target the bearer’s unit with a Stratagem, roll one D6, adding 1 if the bearer is within range of your Vowed objective marker: on a 5+, you gain 1CP"
space_marines_stormlance_task_force,,Stormlance Task Force,ENHANCEMENT,space_marines_stormlance_task_force_enhancement_feinting_withdrawal,Feinting Withdrawal,10,,,,"LEADING 
Shoot after Fallback","ADEPTUS ASTARTES model only. While the bearer is leading a unit, that unit is eligible to shoot in a turn in which it Fell Back."
space_marines_gladius_task_force,,Gladius Task Force,ENHANCEMENT,space_marines_gladius_task_force_enhancement_fire_discipline,Fire Discipline,25,,,,"SUSTAIN HITS 1
Re-roll Adv in Dev doctrine","ADEPTUS ASTARTES model only. While the bearer is leading a unit, ranged weapons equipped by models in that unit have the [SUSTAINED HITS 1] ability. In addition, while the bearer’s unit is under the effects of the Devastator Doctrine, you can reroll Advance rolls made for that unit."
space_marines_firestorm_assault_force,,Firestorm Assault Force,ENHANCEMENT,space_marines_firestorm_assault_force_enhancement_forged_in_battle,Forged in Battle,15,,,,"LEADING 
Hit or Saving = 6","ADEPTUS ASTARTES model only. While the bearer is leading a unit, once per turn, after making a Hit roll or a saving throw for a model in that unit, you can change the result of that roll to an unmodifed 6."
dark_angels_lions_blade_task_force,,Lions Blade Task Force,ENHANCEMENT,dark_angels_lions_blade_task_force_enhancement_fulgus_magna,Fulgus Magna,20,,,,Once. Go back to Strategic Reserves.,"DEATHWING model only. Once per battle, at the end of your opponent’s turn, if the bearer’s unit is not within Engagement Range of one or more enemy units, the bearer can use this Enhancement. If it does, remove the bearer’s unit from the battlefield and place it into Strategic Reserves."
space_marines_stormlance_task_force,,Stormlance Task Force,ENHANCEMENT,space_marines_stormlance_task_force_enhancement_fury_of_the_storm,Fury of the Storm,25,,,,"MELEE + MOUNTED:
 +1 Strength and AP in Melee.
 +2 Strength and AP if Charge.","ADEPTUS ASTARTES MOUNTED model only. Improve the Strength and Armour Penetration characteristics of the bearer’s melee weapons by 1. Each time the bearer ends a Charge move, until the end of the turn, improve the Strength and Armour Penetration characteristics of the bearers melee weapons by 2 instead."
LIBRARIUS_CONCLAVE,,Librarius Conclave,ENHANCEMENT,LIBRARIUS_CONCLAVE_ENHANCEMENT_FUSILLADE,Fusillade,25,,,,"PSYKER: Ranged are [ANTI-MONSTER/VEHICLE 5+]. 
In Pyromancy: Grants [SUSTAINED HITS 1].","ADEPTUS ASTARTES PSYKER model only. This unit's ranged attacks have [ANTI-MONSTER/VEHICLE 5+]. If this unit has the Pyromancy Discipline ability, this unit's ranged attacks also have [SUSTAINED HITS 1]."
space_marines_vanguard_spearhead,,Vanguard Spearhead,ENHANCEMENT,space_marines_vanguard_spearhead_enhancement_ghostweave_cloak,Ghostweave Cloak,15,,,,Bearer has Stealth and Lone Op,Ghostweave Cloak: ADEPTUS ASTARTES model only. The bearer has the Stealth and Lone Operative abilities.
space_marines_spearpoint_task_force,,Spearpoint Task Force,ENHANCEMENT,space_marines_spearpoint_task_force_enhancement_hunters_eye,Hunter’s Eye,20,,,,Bearer’s unit ranged weapons gain SUSTAINED HITS 1 and IGNORES COVER.,HUNTER’S EYE: ADEPTUS ASTARTES model only. Ranged weapons equipped by models in the bearer’s unit have the [SUSTAINED HITS 1] and [IGNORES COVER] abilities.
space_marines_shadowmark_talon,,Shadowmark Talon,ENHANCEMENT,space_marines_shadowmark_talon_enhancement_hunters_instincts,Hunter’s Instincts,25,,,,Arrive from Reserves early,"ADEPTUS ASTARTES model only. If the bearer’s unit is in Strategic Reserves, for the purposes of setting up that unit on the battlefield, treat the current battle round number as being one higher than it actually is."
space_marines_stormlance_task_force,,Stormlance Task Force,ENHANCEMENT,space_marines_stormlance_task_force_enhancement_hunters_instincts,Hunter’s Instincts,25,,,,"RESERVES + MOUNTED. 
Arrive early from Strategic Reserves.","ADEPTUS ASTARTES MOUNTED model only. If the bearer’s unit is in Strategic Reserves, for the purposes of setting up that unit on the battlefield, treat the current battle round number as being one higher than it actually is."
space_marines_forgefathers_seekers,,Forgefather's Seekers,ENHANCEMENT,space_marines_forgefathers_seekers_enhancement_immolator,Immolator,10,,,,Unit gets +1 Attack to Torrent,ADEPTUS ASTARTES model only. Add 1 to the Attacks characteristics of Torrent weapons equipped by models in the bearer’s unit.
space_marines_emperors_shield,,Emperor's Shield,ENHANCEMENT,space_marines_emperors_shield_enhancement_indomitable_champion,Indomitable Champion,20,,,,TERMINAtOR: Gets back up on 2+.,"ADEPTUS ASTARTES ANCIENT model only. Each time an attack targets the bearer’s unit, if the Strength characteristic of that attack is greater than the Toughness characteristic of the bearer’s unit, subtract 1 from the Wound roll."
INTERROGATION_CONCLAVE,,Interrogation Conclave,ENHANCEMENT,INTERROGATION_CONCLAVE_ENHANCEMENT_INESCAPABLE_INTERROGATION,Inescapable Interrogation,20,,,,CHAPLAIN: Ranged have [IGNORES COVER].,CHAPLAIN model only. This unit's ranged attacks have [IGNORES COVER].
iron_hands_hammer_of_avernii,,Hammer Of Avernii,ENHANCEMENT,iron_hands_hammer_of_avernii_enhancement_iron_laurel,Iron Laurel,10,,,,"MELEE. 
 +1 OC for Bearer
 +1 OC, ONCE for Unit","Adeptus Astartes model only. Improve the Objective
Control characteristic of the bearer by 1. Once per
battle, at the start of any phase, the bearer can use this
Enhancement. If it does, until the end of the phase,
add 1 to the Objective Control characteristic of all
other models in the bearer’s unit as well."
INTERROGATION_CONCLAVE,,Interrogation Conclave,ENHANCEMENT,INTERROGATION_CONCLAVE_ENHANCEMENT_LIMITLESS_ZEAL,Limitless Zeal,10,,,,CHAPLAIN: +1 to charge.,CHAPLAIN model only. This unit has +1 to charge rolls.
dark_angels_lions_blade_task_force,,Lions Blade Task Force,ENHANCEMENT,dark_angels_lions_blade_task_force_enhancement_lord_of_the_hunt,Lord of the Hunt,15,,,,"Fall back (re-rolling Desperate Escape), shoot and charge.",RAVENWING model only. The bearer’s unit is eligible to shoot and declare a charge in a turn in which it Fell Back and you can re-roll Desperate Escape tests taken for models in the bearer’s unit.
dark_angels_wrath_of_the_rock,,Wrath of the Rock,ENHANCEMENT,dark_angels_wrath_of_the_rock_enhancement_lord_of_the_ravenwing,Lord of the Ravenwing,10,,,,Ravenwing reroll Advance and Charge,Ravenwing model only. You can re-roll Advance and Charge rolls made for the bearer’s unit.
space_marines_emperors_shield,,Emperor's Shield,ENHANCEMENT,space_marines_emperors_shield_enhancement_malodraxian_standard,Malodraxian Standard,20,,,,ANCIENT: -1 To Wound to Unit.,"ADEPTUS ASTARTES TERMINATOR model only. The first time the bearer is destroyed, roll one D6 at the end of the phase. On a 2+, set the bearer back up on the battlefield, as close as possible to where it was destroyed and not within Engagement Range of any enemy units, with 3 wounds remaining."
iron_hands_hammer_of_avernii,,Hammer Of Avernii,ENHANCEMENT,iron_hands_hammer_of_avernii_enhancement_medusan_roar,Medusan Roar,30,,,,"Within 6"", remove model if Battle Shock.
ONCE, remove D3 models.","Adeptus Astartes model only. While an enemy unit (excluding MONSTERS and VEHICLES) is within 6"" of the bearer, each time that unit fails a Battle‑shock test, one model in that unit is destroyed (chosen by its controlling player).  Once per battle, when such an enemy unit fails a Battle‑shock test, you can choose for D3 models in that unit to be destroyed in this way instead."
DARKFLIGHT_PURSUIT,,Darkflight Pursuit,ENHANCEMENT,DARKFLIGHT_PURSUIT_ENHANCEMENT_NIGHTFORGED_BATTERY,Nightforged Battery,,,,,LAND SPEEDER VENGEANCE only. Re-roll weapon Attacks rolls and Hazard rolls.,LAND SPEEDER VENGEANCE unit only. This unit can re-roll rolls to determine the A of a weapon and Hazard rolls.
space_marines_blade_of_ultramar,,Blade Of Ultramar,ENHANCEMENT,space_marines_blade_of_ultramar_enhancement_oath_of_macragge,Oath Of Macragge,15,,,,"+1 Attack +1 Strength
 +2 Attack +2 Strength in Assault","Oath Of Macragge: ADEPTUS ASTARTES model only. Add 1 to the Attacks and Strength characteristics of the bearer’s melee weapons. While the bearer is under the effects of the Assault Doctrine, add 2 to the Attacks and Strength characteristics of the bearers melee weapons instead."
LIBRARIUS_CONCLAVE,,Librarius Conclave,ENHANCEMENT,LIBRARIUS_CONCLAVE_ENHANCEMENT_OBFUSCATION,Obfuscation,25,,,,"PSYKER: No Overwatch.
Telepathy: -3"" detection range.","ADEPTUS ASTARTES PSYKER model only. Enemy units cannot target this unit with snap shooting attacks. If this unit has the Telepathy Discipline ability, this unit has -3"" detection range."
