Stratagem_ID,Detachment_ID,Stratagem_Name,CP_Cost,Short_Description,Long_Description
tyranids_subterranean_assault_stratagem_replenishing_swarms,tyranids_subterranean_assault,Replenishing Swarms,1,"9"" from Tunnel regain wounds. 
D3+1 wounds or D3+1 destroyed models.","WHEN: Your Movement phase.

TARGET: One Tyranids unit from your army, wholly within 9"" of one or more Tunnel Markers you placed.

EFFECT: One model in your unit regains up to D3+1 lost wounds, or you can return up to D3+1 destroyed models with a Wounds characteristic of 1 to your unit, with their full wounds remaining, instead."
tyranids_subterranean_assault_stratagem_enfilading_emergence,tyranids_subterranean_assault,Enfilading Emergence,1,"Reinforcements and get 
SUSTAINED 1 and IGNORES COVER","WHEN: End of your Movement phase.

TARGET: One Tyranids unit from your army that was set up as Reinforcements this turn.

EFFECT: Until the end of your next Fight phase, weapons equipped by models in your unit have the [SUSTAINED HITS 1] and [IGNORES COVER] abilities."
tyranids_subterranean_assault_stratagem_tunnel_network,tyranids_subterranean_assault,Tunnel Network,1,"Move from one Tunnel to another.
ALWAYS AFTER RAPID INGRESS","WHEN: End of your Movement phase.

TARGET: One Tyranids unit from your army that is wholly within 9"" of one or more of your Tunnel Markers.

EFFECT: Remove your unit from the battlefield and set it up again, wholly within 9"" of another Tunnel Marker you placed, and more than 6"" horizontally away from all enemy units.

RULES: See SEQUENCING. Rapid Ingress will happen before this."
tyranids_subterranean_assault_stratagem_swarming_assault,tyranids_subterranean_assault,Swarming Assault,1,"Reinforcements and MONSTERS 
ALL units within 6"" re-roll charges","WHEN: Your Charge phase.

TARGET: One Tyranids Monster unit from your army that was set up as Reinforcements this turn.

EFFECT: Until the end of the phase, friendly Tyranids units within 6"" of your unit can re-roll Charge rolls."
tyranids_subterranean_assault_stratagem_retreat_below,tyranids_subterranean_assault,Retreat Below,1,"Two BURROWERS or one other unit
Go back to Reserves","WHEN: End of your opponent’s Fight phase.

TARGET: One Tyranids unit or up to two Burrower units from your army that are not within Engagement Range of one or more enemy units.

EFFECT: Remove your unit from the battlefield and place it into Strategic Reserves."
tyranids_talons_of_the_norn_queen_stratagem_catalytic_biofortification_1cp,tyranids_talons_of_the_norn_queen,Catalytic Biofortification,1,"ANY PHASE: When a NORN ASSIMILATOR suffers a mortal wound, that unit has Feel No Pain 4+ against mortal wounds.","WHEN: Any phase, when a friendly NORN ASSIMILATOR unit suffers a mortal wound.

TARGET: That NORN ASSIMILATOR unit.

EFFECT: Your unit has Feel No Pain 4+ against mortal wounds."
tyranids_talons_of_the_norn_queen_stratagem_lesser_prey_1cp,tyranids_talons_of_the_norn_queen,Lesser Prey,1,"FIGHT: When a NORN ASSIMILATOR or NORN EMISSARY unit is selected to fight, its melee attacks have +2 Strength.","WHEN: Fight phase, when a friendly NORN ASSIMILATOR/NORN EMISSARY unit is selected to fight.

TARGET: That NORN ASSIMILATOR/NORN EMISSARY unit.

EFFECT: Your unit’s melee attacks have +2 S."
tyranids_talons_of_the_norn_queen_stratagem_tanglestrike_rounds_1cp,tyranids_talons_of_the_norn_queen,Tanglestrike Rounds,1,"SHOOTING: After a NORN ASSIMILATOR has shot, select an enemy hit by those attacks; that enemy is tethered until your next Command phase and has –2″ M.","WHEN: Your Shooting phase, when a friendly NORN ASSIMILATOR unit has shot.

TARGET: That NORN ASSIMILATOR unit.

EFFECT: Select one enemy unit hit by those attacks. That enemy unit is tethered until the start of your next Command phase. While a unit is tethered, that unit has –2″ M."
tyranids_vanguard_onslaught_stratagem_surprise_assault,tyranids_vanguard_onslaught,Surprise Assault,1,"Shooting of Fight
+1 To Hit & Enemy Battle-shock
If battle-shocked +1 To Wound","WHEN: Your Shooting phase or the Fight phase, just after a VANGUARD INVADER unit from your army has selected its targets.

TARGET: That VANGUARD INVADER unit.

EFFECT: Select one enemy unit that was selected as the target of one or more of your unit’s attacks. That enemy unit must take a Battle-shock test. Until the end of the phase, each time a model in your unit makes an attack that targets that enemy unit, add 1 to the Hit roll. If the Battle-shock test was failed, add 1 to the Wound roll as well."
tyranids_vanguard_onslaught_stratagem_assassin_beasts,tyranids_vanguard_onslaught,Assassin Beasts,1,Unit gets PRECISION,"WHEN: Fight phase.

TARGET: One VANGUARD INVADER INFANTRY unit from your army that has not been selected to fight this phase.

EFFECT: Until the end of the phase, melee weapons equipped by models in your unit have the [PRECISION] ability."
tyranids_vanguard_onslaught_stratagem_seeded_broods,tyranids_vanguard_onslaught,Seeded Broods,1,Arrive early from Reserves,"WHEN: Your Movement phase.

TARGET: One TYRANIDS unit from your army that is in Reserves, or up to two VANGUARD INVADER units from your army that are in Reserves.

EFFECT: Until the end of the phase, for the purposes of setting up those selected units on the battlefield, treat the current battle round number as being one higher than it actually is."
tyranids_vanguard_onslaught_stratagem_hypersensory_scillia,tyranids_vanguard_onslaught,Hypersensory Scillia,2,Reactive Move,"WHEN: Your opponent’s Movement phase, just after an enemy unit ends a Normal, Advance or Fall Back move.

TARGET: Up to two VANGUARD INVADER units from your army that are within 8"" of that enemy unit, or one other TYRANIDS INFANTRY unit from your army that is within 8"" of that enemy unit.

EFFECT: Those selected units can each make a Normal move of up to 6"".

RESTRICTIONS: You cannot target units that are within Engagement Range of one or more enemy units."
tyranids_vanguard_onslaught_stratagem_unseen_lurkers,tyranids_vanguard_onslaught,Unseen Lurkers,1,"Lone Op 18"" or 6"" if already Lone Op","WHEN: Your opponent’s Shooting phase, just after an enemy unit has selected its targets.

TARGET: One VANGUARD INVADER unit from your army that was selected as the target of one or more of the attacking unit’s attacks.

EFFECT: Until the end of the phase, your unit can only be selected as the target of a ranged attack if the attacking model is within 18"" or, if your unit has the Lone Operative ability, if the attacking model is within 6"". Your opponent can select new targets for the attacking unit’s attacks."
tyranids_vanguard_onslaught_stratagem_invisible_hunter,tyranids_vanguard_onslaught,Invisible Hunter,1,Return to Reserves,"WHEN: End of your opponent’s Fight phase.

TARGET: Up to two VANGUARD INVADER units from your army, or one TYRANIDS INFANTRY unit from your army.

EFFECT: Remove the targeted units from the battlefield and place them into Strategic Reserves.

RESTRICTIONS: The targeted units must be more than 3"" away from all enemy units."
tyranids_warrior_bioform_onslaught_stratagem_alien_physiology_1cp,tyranids_warrior_bioform_onslaught,Alien Physiology,1,"Shooting or Fight: When a Tyranid Warriors unit is targeted by an attack with Strength greater than its Toughness, those attacks have –1 to wound rolls.","WHEN: Your opponent’s Shooting phase or the Fight phase, when an enemy unit targets a friendly TYRANID WARRIORS unit.

TARGET: That TYRANID WARRIORS unit.

EFFECT: Attacks that target your unit with a Strength greater than your unit’s Toughness have –1 to wound rolls."
tyranids_warrior_bioform_onslaught_stratagem_synaptic_micronodes_1cp,tyranids_warrior_bioform_onslaught,Synaptic Micronodes,1,End of Movement: One Tyranid Warriors unit secures an objective it controls.,"WHEN: End of your Movement phase.

TARGET: One friendly TYRANID WARRIORS unit.

EFFECT: Select one objective your unit is controlling. That objective is secured."
tyranids_warrior_bioform_onslaught_stratagem_parasitic_payload_1cp,tyranids_warrior_bioform_onslaught,Parasitic Payload,1,Shooting: A Tyranid Warriors unit’s ranged attacks have [IGNORE COVER].,"WHEN: Your Shooting phase, when a friendly TYRANID WARRIORS unit is selected to shoot.

TARGET: That TYRANID WARRIORS unit.

EFFECT: Your unit’s ranged attacks have [IGNORE COVER]."
