Enhancement_ID,Detachment_ID,Enhancement_Name,Points,Short_Description,Long_Description,Tags
orks_bully_boyz_enhancement_wimp_kickaz,orks_bully_boyz,WIMP-KICKAZ (UP),15,NOBZ unit only. Engaged enemy that Falls Back must use desperate escape; -1 hazard rolls if this unit is RILED UP.,"NOBZ unit only. When an enemy unit engaged with this unit is selected to make a fall-back move:
- That enemy unit must select the desperate escape mode.
- If this unit is RILED UP, that enemy unit has -1 to the hazard rolls made for that desperate escape.",
orks_bully_boyz_enhancement_tellyporta_boss,orks_bully_boyz,TELLYPORTA BOSS,20,MEGA ARMOUR model only. This unit (excluding VEHICLE) has Deep Strike.,MEGA ARMOUR model only. This unit (excluding VEHICLE units) has Deep Strike.,
orks_taktikal_brigade_enhancement_kill_kommanda,orks_taktikal_brigade,KILL KOMMANDA,20,"BIG MEK / WARBOSS INFANTRY model only. While part of an attached unit, this model has Infiltrators and Stealth.","BIG MEK / WARBOSS INFANTRY model only. While this model is part of an attached unit, this model has:
- Infiltrators
- Stealth",
orks_taktikal_brigade_enhancement_throat_slittas,orks_taktikal_brigade,THROAT-SLITTAS (UP),15,KOMMANDOS / STORMBOYZ unit only. Melee has [LETHAL HITS: non-MONSTER / VEHICLE].,KOMMANDOS / STORMBOYZ unit only. This unit's melee attacks have [LETHAL HITS: non-MONSTER / VEHICLE].,
orks_wreckas_enhancement_kaptins_hat,orks_wreckas,KAPTIN'S HAT,25,"BIG MEK / WARBOSS INFANTRY only.  After deployment, redeploy 3 INFANTRY; can go into Strategic Reserves ignoring limits.","BIG MEK / WARBOSS INFANTRY model only. When both players have deployed their armies, you can redeploy up to three friendly ORKS INFANTRY units. When doing so, you can set those units up in strategic reserves, regardless of how many units are already in strategic reserves.",
orks_wreckas_enhancement_supa_snazz_dakka,orks_wreckas,SUPA-SNAZZ DAKKA (UP),20,FLASH GITZ unit only. Snazzgun weapons have [RAPID FIRE 1].,FLASH GITZ unit only. This unit's Snazzgun weapons have [RAPID FIRE 1].,
orks_da_big_hunt_enhancement_glory_hog,orks_da_big_hunt,GLORY HOG,25,BEAST SNAGGA model only. Fall Back does not prevent this unit from charging.,"BEAST SNAGGA model only. When this unit is selected to make a fall-back move, that fall-back move does not prevent this unit from being eligible to declare a charge.",
orks_da_big_hunt_enhancement_it_came_from_da_drops,orks_da_big_hunt,IT CAME FROM DA DROPS,20,BEASTBOSS ON SQUIGOSAUR model only. This model has +1 T.,BEASTBOSS ON SQUIGOSAUR model only. This model has +1 T.,
orks_madcap_meks_enhancement_mekwaaagh_mastermind,orks_madcap_meks,MEKWAAAGH! MASTERMIND,30,BIG MEK model only. This unit is RILED UP.,BIG MEK model only. This unit is RILED UP.,
orks_madcap_meks_enhancement_temperamental_shokka,orks_madcap_meks,TEMPERAMENTAL SHOKKA (UP),20,"BIG MEK WITH SHOKK ATTACK GUN: on shoot, D6 — 1 Torrent then destroyed; 2-5 +1 A; 6 Sustained Hits 2.","BIG MEK WITH SHOKK ATTACK GUN model only. In your Shooting phase, when this unit is selected to shoot, you can roll one D6:
- On a 1, this model's Shokk Attack Gun weapon has [TORRENT], and when this unit has shot, this model is destroyed.
- On a 2-5, this model's Shokk Attack Gun weapon has +1 A.
- On a 6, this model's Shokk Attack Gun weapon has [SUSTAINED HITS 2].",
orks_madcap_meks_enhancement_enhanced_runt_maw,orks_madcap_meks,ENHANCED RUNT-MAW (UP),10,"BIG MEK WITH SHOKK ATTACK GUN: after shooting, one hit enemy is infested with Snotlings (−1 Leadership).","BIG MEK WITH SHOKK ATTACK GUN model only. When this unit has shot, select one enemy unit hit by those attacks. That unit is infested with Snotlings until the start of your next turn.
- While an enemy unit is infested with Snotlings, that unit has -1 to leadership rolls.",
orks_dread_mob_enhancement_cybork_boosta,orks_dread_mob,CYBORK BOOSTA,10,"BIG MEK / MEK model: +2"" M.","BIG MEK / MEK model only. This model has +2"" M.",
orks_dread_mob_enhancement_dreadherder,orks_dread_mob,DREADHERDER,20,"BIG MEK: within 3"" of WALKER
MEK gets Lone Op.
Also, WALKER within 3"" re-rolls hit 1s.","BIG MEK model only. While this model is within 3"" of a friendly ORKS WALKER unit (excluding BIG MEK units):
- This model has Lone Operative.
- In your Shooting phase, you can select one friendly ORKS WALKER unit within 3"" of this model. That unit's attacks can re-roll hit rolls of 1 until the end of the turn.",
orks_blitz_brigade_enhancement_targetin_gizmos,orks_blitz_brigade,TARGETIN' GIZMOS (UP),10,"WAGON with embarked by BIG MEK:
[IGNORES COVER]
If RILED UP: [SUSTAINED HITS 1]","WAGON unit only. While a BIG MEK model is embarked within this unit:
- This unit's ranged attacks have [IGNORES COVER].
- If this unit is RILED UP, this unit's ranged attacks have [SUSTAINED HITS 1].",
orks_blitz_brigade_enhancement_boss_boomer,orks_blitz_brigade,BOSS BOOMER (UP),10,"WAGON with embarked by WARBOSS:
It gains that WARBOSS's Intimidating Motivation / Keep Huntin' ability.","WAGON unit only. While a WARBOSS model is embarked within this unit, this unit has that WARBOSS model's Intimidating Motivation / Keep Huntin' ability.",
orks_kult_of_speed_enhancement_smoky_gubbinz,orks_kult_of_speed,SMOKY GUBBINZ (UP),10,"SPEED FREEKS (not AIRCRAFT): if an attack loses full visibility because of a model in this unit, the target has cover vs that attack.","SPEED FREEKS unit only (excluding AIRCRAFT units). When an attack targets a unit that is not fully visible to the attacking model because of a model in this unit, the target has the benefit of cover against that attack.",
orks_kult_of_speed_enhancement_competitive_streak,orks_kult_of_speed,COMPETITIVE STREAK,15,DEFFKILLA WARTRIKE model only. This unit can re-roll charge rolls.,DEFFKILLA WARTRIKE model only. This unit can re-roll charge rolls.,
orks_flyboyz_enhancement_flyboss,orks_flyboyz,FLYBOSS (UP),20,"ORKS AIRCRAFT: unit is CHARACTER. After an ingress move, friendly ORKS AIRCRAFT / DEFFKOPTAS within 6"" are RILED UP until start of your next turn.","ORKS AIRCRAFT unit only.
- This unit has CHARACTER.
- When this unit ends an ingress move, each friendly ORKS AIRCRAFT / DEFFKOPTAS unit within 6"" of this unit is RILED UP until the start of your next turn.",
orks_flyboyz_enhancement_impulsive_recon,orks_flyboyz,IMPULSIVE RECON (UP),15,"ORKS AIRCRAFT unit only. In the first Movement phase, this unit can make an ingress move.","ORKS AIRCRAFT unit only. In your first Movement phase, this unit can make an ingress move.",
orks_brute_bosses_enhancement_surly_as_a_squiggoth,orks_brute_bosses,SURLY AS A SQUIGGOTH,25,"INFANTRY WARBOSS.
Once per battle, if model is destroyed, on a 2+ return with 3 wounds.","INFANTRY WARBOSS model only. (Once per battle, per army) At the end of a phase in which this model is destroyed, roll one D6:
- On a 2+, set this model back up on the battlefield as close as possible to where it was destroyed, unengaged, with 3 wounds remaining.",
orks_brute_bosses_enhancement_brutal_but_kunnin,orks_brute_bosses,BRUTAL BUT KUNNIN',30,"WARBOSS model only.
Model melee have +1 D.",WARBOSS model only. This model's melee attacks have +1 D.,
orks_brute_bosses_enhancement_blitzboss,orks_brute_bosses,BLITZBOSS,20,"WARBOSS. TRANSPORT its embarked in has +2"" M and 5+ InSv.

Excludes WALKER","WARBOSS model only. A TRANSPORT unit (excluding WALKER units) this unit is embarked within has:
- +2"" M
- 5+ InSv.",
orks_brute_bosses_enhancement_proper_killy,orks_brute_bosses,PROPER KILLY,15,"WARBOSS model.
Re-roll hit rolls of 1.",WARBOSS model only. This model can re-roll hit rolls of 1.,
orks_brute_bosses_enhancement_morgogs_finkin_cap,orks_brute_bosses,MORGOG'S FINKIN' CAP,50,"WARBOSS. Once per battle
End of opponent's Move, if unengaged, Move D6"". If RILED UP, re-roll that D6.","WARBOSS model only. (Once per battle, per army) At the end of your opponent's Movement phase, if this unit is unengaged, this unit can make a normal move of:
- Up to D6"".
- If this unit is RILED UP, you can re-roll that D6.",
orks_brute_bosses_enhancement_da_gobshot_thunderbuss,orks_brute_bosses,DA GOBSHOT THUNDERBUSS,20,"WARBOSS model only.
Gains Da Gobshot Thunderbuss.","WARBOSS model only. This model has the following weapon:
Da Gobshot Thunderbuss [LETHAL HITS: non-MONSTER / VEHICLE, RAPID FIRE 6]
Range 24"", A 6, BS 4+, S 7, AP -2, D 2.",
orks_wurrband_enhancement_da_krunch,orks_wurrband,DA KRUNCH,10,ORKS PSYKER model only. Gains Da Krunch.,"ORKS PSYKER model only. This model has the following weapon:
Da Krunch [BLAST 3, HAZARDOUS, LETHAL HITS, PSYCHIC]
Range 24"", A 3, BS 4+, S 5, AP -1, D 1.",
orks_wurrband_enhancement_eadbanger,orks_wurrband,'EADBANGER,15,ORKS PSYKER model only. Gains 'Eadbanger.,"ORKS PSYKER model only. This model has the following weapon:
'Eadbanger [HAZARDOUS, PRECISION, PSYCHIC]
Range 24"", A 2, BS 4+, S 6, AP -3, D 1.",
orks_wurrband_enhancement_warphead,orks_wurrband,WARPHEAD,25,"ORKS PSYKER model only. Psyker level 2, Deadly Demise D6, and can re-roll psychic rolls.","ORKS PSYKER model only. This model:
- Has psyker level 2.
- Has Deadly Demise D6.
- Can re-roll psychic rolls.",
orks_runt_swarm_enhancement_extra_sneaky,orks_runt_swarm,EXTRA SNEAKY (UP),10,"GRETCHIN unit only. This unit has -3"" detection range.","GRETCHIN unit only. This unit has -3"" detection range.",
orks_runt_swarm_enhancement_minefield_detail,orks_runt_swarm,MINEFIELD DETAIL (UP),10,"GRETCHIN unit only. While not embarked, this unit has Scouts 6"".","GRETCHIN unit only. While this unit is not embarked, this unit has Scouts 6"".",
orks_shoota_boyz_enhancement_supa_glowy_fing,orks_shoota_boyz,SUPA-GLOWY FING,25,"INFANTRY model (excluding MEKBOY):
Ranged gain [ANTI-INFANTRY 4+], [DEVASTATING WOUNDS], and [SUPA-HAZARDOUS].","ORKS INFANTRY model only (excluding MEKBOY models). This model's ranged attacks have:
- [ANTI-INFANTRY 4+].
- [DEVASTATING WOUNDS].
- [SUPA-HAZARDOUS].

[SUPA-HAZARDOUS]: Each time a unit is selected to shoot, after that unit has resolved all of its attacks, make two hazard rolls for that unit for each [SUPA-HAZARDOUS] weapon you selected in the Select Weapons step.",
orks_shoota_boyz_enhancement_targetin_squigs,orks_shoota_boyz,TARGETIN' SQUIGS,20,"BIG MEK / BIGBOSS / WARBOSS model
Ranged excluding [TORRENT] have +3"" R.","BIG MEK/BIGBOSS/WARBOSS model only. This unit's ranged attacks (excluding [TORRENT] attacks) have +3"" R.",
